         4267112 function calls (4191631 primitive calls) in 99.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14656   53.886    0.004   53.886    0.004 {built-in method posix.read}
    97502   16.541    0.000   16.541    0.000 {built-in method stim._stim_polyfill.append_operation}
     3591   10.834    0.003   10.834    0.003 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/zmq/sugar/socket.py:623(send)
    21680    5.648    0.000    5.648    0.000 {method 'acquire' of '_thread.lock' objects}
      890    2.981    0.003    2.981    0.003 {built-in method _posixsubprocess.fork_exec}
      890    1.223    0.001    4.278    0.005 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/util.py:447(spawnv_passfds)
     4895    0.465    0.000    0.465    0.000 {built-in method posix.waitpid}
      890    0.456    0.001    6.020    0.007 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_spawn_posix.py:38(_launch)
      890    0.353    0.000   21.501    0.024 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/popen_fork.py:15(__init__)
      890    0.288    0.000   15.127    0.017 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/util.py:433(_flush_std_streams)
     4628    0.249    0.000    0.252    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/util.py:186(__init__)
      890    0.240    0.000    0.240    0.000 {built-in method io.open}
      890    0.226    0.000    2.737    0.003 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:161(_start_thread)
     1780    0.222    0.000    0.299    0.000 {method 'dump' of '_pickle.Pickler' objects}
     2580    0.212    0.000    5.938    0.002 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:288(wait)
    10342    0.198    0.000    0.198    0.000 {built-in method posix.write}
       89    0.171    0.002    7.420    0.083 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/shuffle_all_cxs/noisy_cx_circuit.py:3(add_noise_to_circuit)
     1790    0.160    0.000   14.842    0.008 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/ipykernel/iostream.py:592(flush)
      890    0.155    0.000    0.155    0.000 {built-in method posix.getcwd}
     8659    0.155    0.000    0.155    0.000 {method '__enter__' of '_thread.lock' objects}
       89    0.128    0.001   22.910    0.257 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:129(start_workers)
      890    0.123    0.000    0.900    0.001 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:37(__init__)
     3570    0.113    0.000    0.114    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:236(__init__)
    57408    0.107    0.000    0.107    0.000 {method 'outer' of 'numpy.ufunc' objects}
      890    0.101    0.000    1.011    0.001 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:100(Queue)
     2848    0.097    0.000    0.566    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
     2937    0.089    0.000    0.114    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/random.py:480(choices)
     3649    0.084    0.000    0.084    0.000 {built-in method posix.pipe}
    28704    0.082    0.000    0.196    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:208(__call__)
      890    0.081    0.000   21.712    0.024 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/process.py:110(start)
     3591    0.077    0.000   11.011    0.003 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/ipykernel/iostream.py:259(schedule)
     2937    0.076    0.000    0.203    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/tempfile.py:153(__next__)
     5607    0.076    0.000    0.076    0.000 {built-in method posix.close}
      890    0.061    0.000    0.086    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/process.py:61(_cleanup)
     3591    0.060    0.000    0.060    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/ipykernel/iostream.py:138(_event_pipe)
    20001    0.059    0.000    0.059    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:153(<genexpr>)
      356    0.054    0.000    8.827    0.025 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/shuffle_all_cxs/circuit_from_cx_list.py:165(build_syndrome_extraction_cycle)
     2580    0.053    0.000    0.303    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:276(_acquire_restore)
     1920    0.051    0.000    0.283    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:113(find_bezier_t_intersecting_with_closedpath)
     7328    0.050    0.000    0.070    0.000 {built-in method _pickle.loads}
     1920    0.050    0.000    0.513    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/bezier.py:351(split_path_inout)
     5616    0.049    0.000    0.195    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:78(ensure_running)
      890    0.049    0.000    0.096    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:71(_reset)
    14967    0.047    0.000    0.059    0.000 <frozen importlib._bootstrap>:405(parent)
     2239    0.046    0.000    0.133    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:456(status_message)
     1780    0.044    0.000    0.056    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/reduction.py:38(__init__)
     7239    0.042    0.000    5.376    0.001 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:308(process_message)
     5381    0.038    0.000    0.050    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:1185(is_alive)
    14656    0.037    0.000   53.930    0.004 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:373(_recv)
     2417    0.036    0.000   81.177    0.034 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection.py:36(iter_collect)
        9    0.035    0.004    0.035    0.004 {method 'encode' of 'ImagingEncoder' objects}
245797/245791    0.034    0.000    0.048    0.000 {built-in method builtins.isinstance}
     1958    0.033    0.000    0.555    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:65(Lock)
    13213    0.032    0.000    0.048    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_data/_anon_task_stats.py:36(__post_init__)
     5375    0.030    0.000    0.113    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/artist.py:1188(_update_props)
     7328    0.030    0.000   54.125    0.007 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py:363(get)
     1774    0.030    0.000    0.187    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
     2848    0.030    0.000    0.241    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:119(_make_name)
    13538    0.028    0.000    0.028    0.000 {built-in method __new__ of type object at 0x102fd0cd8}
